,0
0,5.047287300472049
1,5.196859177280815
2,5.146206311336516
3,4.526713532863321
4,5.414106092228983
5,4.715710865200918
6,4.410492540255978
7,3.8857424290250955
8,4.1043111281436495
9,4.948010682169234
10,4.742296163380885
11,5.243314795152527
12,4.396821140170812
13,5.195122987549609
14,4.994496265270411
15,4.313356413177864
