,0
0,23.374861323990597
1,16.679253524246285
2,17.856660179243413
3,16.424914565419016
4,11.416678369199698
5,12.189153775608803
6,10.189470788835683
7,18.989602383638278
8,7.798759390851474
9,9.500618866136417
10,11.525620121632272
11,6.555985387057832
12,9.000647396832887
13,10.168050208178744
14,8.710002237850723
15,9.553402285129724
16,10.936558653079338
17,9.463376489304867
18,10.763735750233774
19,7.1519064844271085
20,6.563334397626429
21,8.585556324028495
22,9.539680273880384
23,6.042480667478911
24,5.546105865052207
25,7.854125444550295
26,6.8917065525003185
27,6.5855864864569424
28,6.697566496647105
29,5.131640771057218
30,5.271507032135253
31,6.71747942880943
32,5.492679976146019
33,6.037875980829078
34,7.438840183425741
35,5.273794013563687
36,4.763674115557713
37,6.313146307841996
38,5.853470237067578
39,6.064345442553897
40,5.294471394837128
41,6.010154958371981
42,5.209584387486192
43,5.726010571683714
44,5.189622269940746
45,5.252730595861863
46,5.4666291611621665
47,6.463164656490984
48,4.75955805126601
49,5.347074744040755
50,4.403687076447251
51,5.584874963545076
52,4.029135778585499
53,5.337609959949046
54,5.512451458980981
55,4.667357415204461
56,5.011569743684516
57,5.05362696669061
58,4.129408381776525
59,5.029326339461733
60,5.770568160848966
61,4.966888082222267
62,3.819800021471635
63,4.206802792902784
64,3.819944093006543
65,4.6773587508742915
66,4.770910121769035
67,5.246804386902571
68,3.3273330461652333
69,3.5109351411679093
70,4.575038843161177
71,4.811447825279287
72,5.008027877036313
73,4.110090761899684
74,4.0220817764867105
75,4.253081066991208
76,4.411909186478859
77,3.75454331531716
78,4.260522834836975
79,4.815166558905622
80,5.228585419016054
81,4.039384808444326
82,4.399174489110114
83,4.413278898313481
84,4.559667380724695
85,5.05950751520507
86,4.874370224155775
87,4.878319924042452
88,5.390895977548789
89,4.529471656420997
90,3.830978865436385
91,4.2313631891359265
92,4.099491533198441
93,4.445610930358523
94,4.6598620766461645
95,4.2371035359607685
96,4.417055121674482
97,4.824601749573201
98,5.040002905653635
99,4.375974208484916
100,4.161732106894249
101,3.851575284683231
102,4.578231282646791
103,3.8342717985580563
104,3.9888046909539376
105,4.6196630525418065
106,4.44066962656571
107,4.723879190428876
108,4.284488888637579
109,4.452798715473299
110,4.565718121711507
111,3.9829650843386473
112,3.7997896564736733
113,4.104534814791153
114,4.622246444248469
115,4.654752571202565
116,4.718849530422032
117,4.206779320575212
118,4.7521205698929645
119,4.72171964573025
120,4.585547484336776
121,4.216974558805688
122,4.384929705883108
123,5.087589400672716
124,3.958553285025121
125,4.5391008213718935
126,4.112034601762256
127,4.088648157373266
128,4.483583321692
129,4.426134679412963
130,3.5704084694935703
131,4.3324893121199
132,4.8329668806324175
133,4.8402067353650216
134,4.079157221822585
135,4.626909168847696
136,3.946110045293993
137,3.8051080386218126
138,3.742351442740893
139,4.500650441022761
140,4.23632831369531
141,4.123089059087875
142,3.978093919652356
143,4.0572814315735615
144,4.427323442784943
145,5.546495266184634
146,4.464321558286314
147,4.940001749368829
148,4.140309409914828
149,3.5685162922863696
150,4.972384064413596
151,4.495334083143957
152,4.261633769567673
153,4.509625841426337
154,3.94564582124194
155,4.188203068343069
156,3.778361180526755
157,4.363926464500754
158,4.848339393433795
159,5.02888050385582
160,4.4734624118394635
161,4.287972050560569
162,5.4152606892154305
163,4.342171747939073
164,4.372675197319228
165,4.611339961695753
166,4.356455549266705
167,4.4007684571348324
168,4.810188501429049
169,3.8207406644506117
170,4.863725556591646
171,4.453208387368102
172,4.65024695960165
173,4.125231810887673
174,3.905982047049237
175,4.062054535118352
176,4.571134646883444
177,4.061453400211118
178,4.473921445152108
179,3.610226214606028
180,4.216628572731257
181,4.98412182523265
182,4.607769971710898
183,4.45042671990111
184,4.32667275786654
185,4.594918059154189
186,5.005591871457889
187,4.409359138367887
188,4.736218424148728
189,4.5050982973767475
190,4.778460436390555
191,4.327751434320035
192,3.813203892094174
193,4.276756424089976
194,4.371182661224751
195,4.182002522309371
196,3.9826688178218657
197,4.130126562378745
198,3.745907116573217
199,4.376813344563432
200,5.003183350649945
201,4.810313380376713
202,3.6978142522793345
203,4.164896209429663
204,4.151990910000887
205,4.5666575885023395
206,4.246267333451216
207,4.030493407932249
208,4.108182255129313
209,4.559718146917659
210,4.3188863624831475
211,4.111629990930481
212,4.141724416604135
213,4.528444425798338
214,4.045741975342369
215,4.3824290660305705
216,3.831446365810921
217,4.716760953784464
218,4.289569909300196
219,4.081825936308659
220,4.386638086372552
221,4.656811162358474
222,4.501100748922785
223,4.960478781975002
224,4.542772607026478
225,4.203439816104153
226,4.469679103870399
227,4.487489487694776
228,4.332861876117234
229,4.304102663499647
230,4.468889643323289
231,4.224339197153642
232,4.274611030396617
233,4.11594863653242
234,4.439360371918971
235,4.602012779465269
236,4.557030257989127
237,4.049602419096914
238,4.02128101595022
239,4.5619558107367775
240,4.50783413425969
241,4.068138398579567
242,3.646021483650846
243,4.943362972955401
244,3.766530246856802
245,4.412406500987441
246,4.403581825781945
247,4.386446194368559
248,4.038900410665984
249,4.361434067825293
250,4.4650937749183885
251,3.8896559594416433
252,3.936075335773298
253,4.201601963285434
254,4.745323865624807
255,4.2967050993666875
256,4.189214372037191
257,4.385461676800343
258,4.392114870281327
259,4.7310101012084465
260,4.717014294534353
261,4.092469270480874
262,4.588669224089884
263,3.8495355606154633
264,4.40659936078675
265,4.192158907571489
266,4.606897092148065
267,4.20466703536357
268,4.596200546201017
269,4.505829389846679
270,4.6949094376979605
271,4.625827526484585
272,4.003457334565527
273,4.6468431613175065
274,4.686653374552713
275,4.3061713368142325
276,4.058400766238083
277,3.503019373416644
278,4.215930831240504
279,3.889471041291117
280,4.034810923076792
281,4.131116111262049
282,4.969576543533749
283,4.305409809369941
284,4.440621993999982
285,3.794577129038075
286,4.168472379235011
287,4.113765582117632
288,4.095791990314567
289,4.466100053866128
290,4.182402369537932
291,4.519080495128287
292,4.02205782680121
293,4.292409584620427
294,4.319478125623632
295,4.9238178188792014
296,4.02415006277782
297,4.105128603083047
298,4.341972790234539
299,5.120992862747327
300,4.613224894052499
301,4.554378488936217
302,4.610844598266034
303,4.718996318056642
304,4.22589402473331
305,4.2733308665726835
306,4.731259997936119
307,3.5963939845614257
308,4.019815329349809
309,4.374859554206367
310,4.069594990860232
311,4.230638003571896
312,3.862584143724036
313,4.023164323287949
314,4.416004363619904
315,4.2004606268600675
316,4.4353062935096
317,4.92140344600514
318,4.4480945346921406
319,4.445142984939341
320,3.6722489960130407
321,4.948160823944023
322,3.672235122481416
323,3.940556219521261
324,4.898733660529912
325,4.22767487254611
326,4.7074051446348335
327,4.183557792379178
328,4.365992080649917
329,4.438094406341219
330,4.344980303214324
331,4.069656903718636
332,4.45060881542877
333,4.174724759107789
334,3.928686904046298
335,3.806812641350119
336,3.8456745505565166
337,4.694572369742758
338,3.6548878522120347
339,3.2418510825935667
340,4.746935793773737
341,4.402439372185102
